x,y,z,param,elm_id,region,cellType,Magnitude(ohm.m),Phase(mrad),Magnitude(log10),Sigma_real(log10),Sigma_imag(log10),Sensitivity(log10),Conductivity(mS/m)
26.576763,0.000000,256.056713,1.0,1.0,1.0,5.0,18.17066,5.61075,1.25937,-1.25938,0.0,-2.24189,55.03377423
28.636120,0.000000,256.141147,2.0,2.0,1.0,5.0,18.12064,5.45196,1.25817,-1.25818,0.0,-2.23065,55.18568881
26.822337,0.000000,256.516300,3.0,3.0,1.0,5.0,18.20608,5.60385,1.26022,-1.26022,0.0,-2.42114,54.9267058
28.544177,0.000000,255.569847,4.0,4.0,1.0,5.0,18.06025,5.42664,1.25672,-1.25673,0.0,-2.28323,55.37021913
1.787277,0.000000,257.911790,5.0,5.0,1.0,5.0,17.5727,4.91241,1.24484,-1.24484,0.0,-3.53525,56.90645148
1.496087,0.000000,258.314227,6.0,6.0,1.0,5.0,17.57014,4.86236,1.24478,-1.24478,0.0,-3.6087,56.91474285
19.484243,0.000000,256.729537,7.0,7.0,1.0,5.0,18.12574,5.91862,1.2583,-1.2583,0.0,-2.58195,55.17016133
62.996340,0.000000,254.715930,8.0,8.0,1.0,5.0,14.77829,1.95224,1.16962,-1.16963,0.0,-3.6695,67.66682749
7.746077,0.000000,256.968397,9.0,9.0,1.0,5.0,17.69867,5.44428,1.24794,-1.24795,0.0,-3.00194,56.50142073
2.227823,0.000000,257.977423,10.0,10.0,1.0,5.0,17.57905,4.95895,1.245,-1.245,0.0,-3.74805,56.88589543
19.750937,0.000000,256.313370,11.0,11.0,1.0,5.0,18.12267,5.88115,1.25822,-1.25823,0.0,-2.38864,55.17950721
47.928037,0.000000,254.922410,12.0,12.0,1.0,5.0,15.98008,3.11435,1.20358,-1.20358,0.0,-2.58444,62.5779095
48.477453,0.000000,255.225437,13.0,13.0,1.0,5.0,15.90879,3.04125,1.20164,-1.20164,0.0,-2.73566,62.85833178
42.515403,0.000000,254.809410,14.0,14.0,1.0,5.0,16.67565,3.81604,1.22208,-1.22209,0.0,-2.62863,59.96767742
43.093440,0.000000,255.554607,15.0,15.0,1.0,5.0,16.63494,3.74153,1.22102,-1.22102,0.0,-2.45917,60.11443384
11.538783,0.000000,254.892753,16.0,16.0,1.0,5.0,17.77948,5.56051,1.24992,-1.24993,0.0,-2.88205,56.24461458
17.449260,0.000000,256.540827,17.0,17.0,1.0,5.0,18.04289,5.90523,1.25631,-1.25631,0.0,-2.41114,55.42349369
47.501163,0.000000,255.280617,18.0,18.0,1.0,5.0,16.04286,3.16969,1.20528,-1.20528,0.0,-2.69645,62.33302541
20.173890,0.000000,254.750897,19.0,19.0,1.0,5.0,18.02994,5.74658,1.25599,-1.256,0.0,-2.52268,55.4633016
33.807440,0.000000,255.792187,20.0,20.0,1.0,5.0,17.74564,4.93346,1.24909,-1.2491,0.0,-2.32919,56.35187009
26.060877,0.000000,256.092157,21.0,21.0,1.0,5.0,18.1804,5.64856,1.2596,-1.25961,0.0,-2.40367,55.00429033
8.162133,0.000000,257.276693,22.0,22.0,1.0,5.0,17.71785,5.5048,1.24841,-1.24842,0.0,-3.12242,56.44025658
23.008247,0.000000,256.562957,23.0,23.0,1.0,5.0,18.22672,5.83884,1.26071,-1.26072,0.0,-2.36192,54.86450661
33.471663,0.000000,256.167087,24.0,24.0,1.0,5.0,17.81551,4.99958,1.2508,-1.2508,0.0,-2.30772,56.13086575
48.918170,0.000000,255.027497,25.0,25.0,1.0,5.0,15.85329,2.98951,1.20012,-1.20012,0.0,-2.9853,63.07838941
0.299983,0.000000,257.637517,26.0,26.0,1.0,5.0,17.54849,4.73354,1.24424,-1.24424,0.0,-3.8869,56.98495996
35.435787,0.000000,254.747063,27.0,27.0,1.0,5.0,17.50962,4.70424,1.24328,-1.24328,0.0,-2.24237,57.11146216
17.461963,0.000000,255.927473,28.0,28.0,1.0,5.0,18.00327,5.83102,1.25535,-1.25536,0.0,-2.36039,55.5454648
39.697357,0.000000,255.574257,29.0,29.0,1.0,5.0,17.06367,4.17918,1.23207,-1.23208,0.0,-2.62086,58.60404005
29.061650,0.000000,255.213217,30.0,30.0,1.0,5.0,18.01736,5.37256,1.25569,-1.2557,0.0,-2.23643,55.50202693
42.028080,0.000000,255.593513,31.0,31.0,1.0,5.0,16.75896,3.86843,1.22425,-1.22425,0.0,-2.513,59.66957377
31.063530,0.000000,256.286977,32.0,32.0,1.0,5.0,18.00065,5.23773,1.25529,-1.25529,0.0,-2.28813,55.55354946
32.866373,0.000000,255.960493,33.0,33.0,1.0,5.0,17.84744,5.04598,1.25158,-1.25158,0.0,-2.24683,56.0304447
23.346557,0.000000,256.849747,34.0,34.0,1.0,5.0,18.24865,5.83242,1.26123,-1.26124,0.0,-2.58604,54.79857414
20.245370,0.000000,256.397797,35.0,35.0,1.0,5.0,18.13827,5.87746,1.2586,-1.2586,0.0,-2.71731,55.13204953
38.803657,0.000000,255.614040,36.0,36.0,1.0,5.0,17.1954,4.31218,1.23541,-1.23542,0.0,-2.56885,58.15508799
