X	Z
0.0	283.7
1.0	283.7
2.0	283.6
2.9	283.6
4.0	283.5
4.9	283.5
5.9	283.4
7.0	283.4
7.9	283.3
9.0	283.3
10.0	283.2
11.0	283.2
12.0	283.1
13.0	283.1
13.9	283.0
15.0	283.0
16.0	282.9
17.0	282.9
18.0	282.8
19.0	282.8
20.0	282.8
21.1	282.7
22.0	282.7
23.0	282.7
24.0	282.6
25.0	282.6
26.1	282.5
27.1	282.5
28.0	282.5
29.1	282.4
30.1	282.4
31.1	282.3
32.1	282.3
33.1	282.3
34.1	282.2
35.0	282.2
35.8	282.1
36.7	282.1
37.7	282.0
38.8	282.0
39.7	282.0
40.7	281.9
41.8	281.9
42.8	281.8
43.8	281.7
44.8	281.6
45.8	281.6
46.8	281.4
47.8	281.4
48.8	281.3
49.8	281.2
50.8	281.2
51.8	281.0
52.7	280.9
53.8	280.8
54.8	280.7
55.8	280.6
56.7	280.5
57.8	280.4
58.7	280.3
59.8	280.3
60.8	280.2
61.8	280.1
62.8	280.1
63.8	280.0
64.8	280.0
65.8	279.9
66.8	279.9
67.8	279.8
68.8	279.8
69.8	279.7
70.8	279.7
