    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    2    1         3    4        0.46293         88.019         87.213            4.350            3.394         0.14142E+00    0.14142E+00    0
    2    1         4    5        0.64283         72.317         71.394            3.480            2.825         0.14142E+00    0.14142E+00    0
    2    1         5    6        0.33558         85.281         85.855            2.620            2.887         0.14142E+00    0.14142E+00    0
    2    1         6    7        0.22086         79.789         80.140            3.690            3.176         0.14142E+00    0.14142E+00    0
    2    1         7    8        0.67909         72.966         73.963            2.340            2.971         0.14142E+00    0.14142E+00    0
    2    1        10   11        0.81078         73.068         71.892            3.630            3.682         0.14142E+00    0.14142E+00    0
    3    1        10   12        0.45975         77.752         77.041            3.310            3.436         0.14142E+00    0.14142E+00    0
    3    1        12   14        0.31351         76.263         75.791            2.280            3.123         0.14142E+00    0.14142E+00    0
    3    1        14   16        0.17656         79.847         80.126            4.170            3.655         0.14142E+00    0.14142E+00    0
    3    1        16   18        0.08204         84.092         84.228            3.190            3.518         0.14142E+00    0.14142E+00    0
    3    1        18   20        0.05378         78.759         78.680            2.900            3.285         0.14142E+00    0.14142E+00    0
    3    1        20   22        0.07705         77.129         77.019            3.000            3.596         0.14142E+00    0.14142E+00    0
    3    1        24   26        0.37752         77.261         76.688            5.210            4.039         0.14142E+00    0.14142E+00    0
    3    2         4    5        0.44744         81.030         81.759            2.920            2.928         0.14142E+00    0.14142E+00    0
    3    2         5    6        1.13041        102.548        100.256            2.810            2.960         0.14142E+00    0.14142E+00    0
    3    2         6    7        0.50272         92.306         91.384            3.680            3.250         0.14142E+00    0.14142E+00    0
    3    2         7    8        0.47180         81.546         82.319            2.760            3.005         0.14142E+00    0.14142E+00    0
    3    2        10   11        0.14245         77.828         77.614            4.380            3.681         0.14142E+00    0.14142E+00    0
    3    2        11   12        0.44429         82.913         82.180            2.780            3.102         0.14142E+00    0.14142E+00    0
    4    2        11   13        0.41065         82.715         82.038            2.940            3.152         0.14142E+00    0.14142E+00    0
    4    2        13   15        0.02294         82.695         82.733            3.480            3.501         0.14142E+00    0.14142E+00    0
    4    2        15   17        0.07297         83.313         83.232            4.560            3.476         0.14142E+00    0.14142E+00    0
    4    2        17   19        0.17656         81.666         81.955            3.560            3.424         0.14142E+00    0.14142E+00    0
    4    3         5    6        0.62267        114.142        112.730            3.450            3.062         0.14142E+00    0.14142E+00    0
    4    3         6    7        1.07617        103.673        101.466            3.870            3.391         0.14142E+00    0.14142E+00    0
    4    3         7    8        0.10926         88.483         88.290            2.980            3.116         0.14142E+00    0.14142E+00    0
    4    3        10   11        0.25541         78.978         79.381            4.210            3.758         0.14142E+00    0.14142E+00    0
    4    3        11   12        0.31903         83.894         83.361            2.810            3.167         0.14142E+00    0.14142E+00    0
    4    3        12   13        0.40513         82.244         81.580            3.190            3.198         0.14142E+00    0.14142E+00    0
    5    1        24   28        0.40485         72.013         71.433            3.920            3.937         0.14142E+00    0.14142E+00    0
    5    1        28   32        0.61425         68.965         68.127            2.880            4.155         0.14142E+00    0.14142E+00    0
    5    1        32   36        0.69685         65.504         64.598            4.320            4.539         0.14142E+00    0.14142E+00    0
    5    1        30   34        0.53200         65.823         65.127            4.050            4.430         0.14142E+00    0.14142E+00    0
    5    1        34   38        0.44481         62.172         61.635            6.550            4.606         0.14142E+00    0.14142E+00    0
    5    1        38   42        0.30172         56.976         57.313            2.900            4.197         0.14142E+00    0.14142E+00    0
    5    3        12   14        0.39811         71.776         71.208            2.390            2.940         0.14142E+00    0.14142E+00    0
    5    3        14   16        0.23474         76.535         76.182            4.300            3.481         0.14142E+00    0.14142E+00    0
    5    3        16   18        0.20965         81.255         80.917            3.840            3.344         0.14142E+00    0.14142E+00    0
    5    3        18   20        0.23098         76.346         75.996            3.500            3.101         0.14142E+00    0.14142E+00    0
    5    3        20   22        0.05481         74.896         74.815            3.270            3.398         0.14142E+00    0.14142E+00    0
    5    3        22   24        0.07301         72.175         72.106            2.560            3.673         0.14142E+00    0.14142E+00    0
    5    3        26   28        0.18499         65.484         65.671            1.520            3.868         0.14142E+00    0.14142E+00    0
    5    4         6    7        0.72548         85.950         87.206            3.500            3.117         0.14142E+00    0.14142E+00    0
    5    4         7    8        1.39068         80.060         77.864            2.710            2.805         0.14142E+00    0.14142E+00    0
    5    4        10   11        0.09966         66.040         66.171            3.580            3.385         0.14142E+00    0.14142E+00    0
    5    4        11   12        0.20448         69.950         69.665            2.980            2.776         0.14142E+00    0.14142E+00    0
    5    4        12   13        0.33124         68.084         67.635            2.620            2.799         0.14142E+00    0.14142E+00    0
    5    4        13   14        0.57640         65.029         64.284            2.100            2.737         0.14142E+00    0.14142E+00    0
    6    2        25   29        0.20714         74.914         74.673            1.400            3.998         0.14142E+00    0.14142E+00    0
    6    2        29   33        0.11730         67.920         67.773            5.190            4.281         0.14142E+00    0.14142E+00    0
    6    2        33   37        0.29431         64.355         63.999            6.390            4.479         0.14142E+00    0.14142E+00    0
    6    2        31   35        0.22663         68.097         67.791            4.980            4.478         0.14142E+00    0.14142E+00    0
    6    2        39   43        0.07684         57.343         57.387            5.550            4.216         0.14142E+00    0.14142E+00    0
    6    4        13   15        0.34074         74.859         74.350            3.450            3.308         0.14142E+00    0.14142E+00    0
    6    4        15   17        0.64216         76.496         75.520            3.480            3.291         0.14142E+00    0.14142E+00    0
    6    4        17   19        0.30498         75.535         75.077            2.730            3.234         0.14142E+00    0.14142E+00    0
    6    4        19   21        0.30748         76.938         76.467            2.690            3.023         0.14142E+00    0.14142E+00    0
    6    4        21   23        0.11374         77.119         76.953            3.010            3.745         0.14142E+00    0.14142E+00    0
    6    4        23   25        0.16258         69.048         68.828            4.200            3.589         0.14142E+00    0.14142E+00    0
    6    4        25   27        0.05392         77.565         77.562            2.810            3.888         0.14142E+00    0.14142E+00    0
    6    4        27   29        0.03520         65.733         65.773            4.280            3.918         0.14142E+00    0.14142E+00    0
    6    5        10   11        0.14987         76.102         75.875            3.880            3.751         0.14142E+00    0.14142E+00    0
    6    5        11   12        0.10939         79.255         79.083            2.860            3.130         0.14142E+00    0.14142E+00    0
    6    5        12   13        0.15966         77.270         77.024            3.040            3.151         0.14142E+00    0.14142E+00    0
